,Open,High,Low,Close,Volume,Next_Change,MACD,signal_line,MACD_signals,previous_MACD_signal,MACD_change,signal_change,convergence,RSI,Stochastic_Oscillator,stoch_ma,STOCH_signals,previous_STOCH_signal,STOCH_change,STOCH_ma_change,stoch_convergence
2014-06-26,28.65,28.921140939597315,25.108808724832215,31.34,45837325,1,0.0,0.0,0,0.0,0,0,0.0,,0.0,0.0,0,0.0,0,0,0.0
2014-06-27,32.97,35.68945006165228,26.01352601726264,35.76,45727158,1,0.3525925925925897,0.07051851851851794,0,0.0,1,1,0.28207407407407176,,0.0,0.0,0,0.0,0,0,0.0
2014-06-30,39.44,34.226596775813064,31.434623841442296,40.55,24928679,1,1.0069304632267517,0.2578009074601647,0,0.0,1,1,0.46705548169251526,,0.0,0.0,0,0.0,0,0,0.0
2014-07-01,45.0,57.923763320647005,51.53938058991437,48.7999,41795185,0,2.1662250289574914,0.6394857317596301,0,0.0,1,1,0.7776097414312743,,0.0,0.0,0,0.0,0,0,0.0
2014-07-02,46.9,47.49974025974026,41.98944684944685,42.04,29324076,0,2.5105666399549946,1.013701913398703,0,0.0,1,1,-0.02987457064156973,,0.0,0.0,0,0.0,0,0,0.0
2014-07-03,43.97,42.79050871130867,38.53424355267618,41.58,15536583,1,2.7150443506800457,1.3539704008549718,0,0.0,1,1,-0.13579077673121764,,0.0,0.0,0,0.0,0,0,0.0
2014-07-07,42.98,46.29352710900473,43.50174824644549,43.9601,17032380,0,3.034172535998195,1.6900108278836166,0,0.0,1,1,-0.016912241710495435,,0.0,0.0,0,0.0,0,0,0.0
2014-07-08,43.885,43.847066974595855,40.474965357967676,42.2,10883881,1,3.1092174386149907,1.9738521500298916,0,0.0,1,1,-0.20879641952947936,,0.0,0.0,0,0.0,0,0,0.0
2014-07-09,43.01,45.11707200762996,43.10383881735813,43.3,5876831,0,3.2203299128747105,2.2231477025988555,0,0.0,1,1,-0.13818307830924415,,0.0,0.0,0,0.0,0,0,0.0
2014-07-10,41.73,46.162075180226566,43.840473738414005,41.94,4992625,0,3.162194900823202,2.410957142243725,0,0.0,0,1,-0.2459444516963778,,0.0,0.0,0,0.0,0,0,0.0
